,price,bedrooms,beds,number_of_reviews,review_scores_rating,reviews_per_month,host_tenure_years,occupancy_rate,estimated_annual_revenue
price,1.0,0.5212159750612932,0.5658734731069139,-0.006728214206133535,0.08841785131125972,0.06718933153805401,,-0.030760632735896427,0.5930171716221743
bedrooms,0.5212159750612932,1.0,0.760641681775535,-0.026369947097400044,0.0767240403176109,0.04044087431542082,,-0.007807235559446409,0.2920656199464963
beds,0.5658734731069139,0.760641681775535,1.0,0.025433916830113194,0.04472077432396278,0.12165420866675601,,-0.12779960159697806,0.20466667978277475
number_of_reviews,-0.006728214206133535,-0.026369947097400044,0.025433916830113194,1.0,0.04543736533304981,0.6242890959154732,,0.08887937141141697,0.05577353911830536
review_scores_rating,0.08841785131125972,0.0767240403176109,0.04472077432396278,0.04543736533304981,1.0,0.03919148872286395,,0.04252673029348811,0.07980139726567016
reviews_per_month,0.06718933153805401,0.04044087431542082,0.12165420866675601,0.6242890959154732,0.03919148872286395,1.0,,-0.01162827282161815,0.05421750406201389
host_tenure_years,,,,,,,,,
occupancy_rate,-0.030760632735896427,-0.007807235559446409,-0.12779960159697806,0.08887937141141697,0.04252673029348811,-0.01162827282161815,,1.0,0.5803176390269625
estimated_annual_revenue,0.5930171716221743,0.2920656199464963,0.20466667978277475,0.05577353911830536,0.07980139726567016,0.05421750406201389,,0.5803176390269625,1.0
